
style,moviename,language,country,imdbscore,counter,doubancounter,actor,dateyear,director,imdbcounter,movie_head_pic,downloadlink,movie_detail_pic,aboutmovie,doubanscore,translation_name
剧情 / 动作 / 悬疑 / 犯罪,The White Storm 2: Drug Lords,普通话/粤语,中国/中国香港,6.4,99分钟,"10 from 109,063 users","刘德华 Andy Lau,古天乐 Louis Koo,苗侨伟 Kiu Wai Miu,林嘉欣 Karena Lam,周秀娜 Chrissie Chaw,应采儿 Cherrie Ying,陈家乐 Carlos Chan,卫诗雅 Michelle Wai,郑则仕 Kent Cheng,张国强 Kwok Keung Cheung",2019-07-05(中国)/2019-07-16(中国香港),邱礼涛 Herman Yau,10 from 137 users,eab94947790c554b44a91f820efa68c0.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:8499/阳光电影www.ygdy8.com.扫毒2：天地对决.HD.1080p.国粤双语中字.mkv,p1PLJ.jpg,毒品市场维持四分天下的格局已久，但自从地藏与墨西哥大毒枭跨境合作扩展势力，再加上一连串黑吃黑的动作，毒界变得风声鹤唳。另一方面，因儿时亲眼目睹父亲被毒品所毁而嫉毒如仇的慈善家兼金融巨子余顺天，正悬赏一亿歼灭香港最大毒贩，此举在社会上引起轩然大波。警员林正风本致力搜证拘捕地藏，毒贩却因巨额悬赏导致人身安全受威胁，他在执行保护毒贩的任务时深感无奈，但又被余顺天的出价所诱惑，陷入黑白正邪的心理挣扎。原来，余顺天和地藏有不可告人的同门关系，一场天地对决一触即发。,6.2,扫毒2天地对决/扫毒2：天地对决/掃毒2：天地對決
动作/犯罪,狱中龙,粤语/国语,中国香港,6.3,102分钟,10 from 2651 users,"刘德华 Andy Lau,何家劲 Kenny Ho,黎姿 Gigi Lai,程东 John Ching Tung,龙方 Fong Lung,黄锦燊 Melvin Wong,韩坤 Victor Hon Kwan,何家驹 Ka-Kui Ho,◎标　　签　刘德华 | 香港 | 香港电影 | 黑帮 | 犯罪 | 黎姿 | 动作 | 何家劲",1990-09-27,郑则仕 Kent Cheng,10 from 104 users,15b90d06d3a0fc0ebc522fabab400d59.jpg,ftp://ygdy8:ygdy8@yg68.dydytt.net:8003/阳光电影www.ygdy8.com.狱中龙.BD.720p.国粤双语中字.mkv,3p1BW.jpg,富家子弟张荣日（何家劲 饰）因冲动犯事儿进入劳役中心服刑，他老实内向，对道上规矩更是一窍不通，因此饱受虾毛等人欺负，在此期间他结识了颇讲义气的阿豪（刘德华 饰），二人成为莫逆之交。此后他们洗心革面，齐心向学，更通过了中学会考。出狱后，身份不同的两个人也自然走上不同的人生路。荣日飞赴英国，研读法律；阿豪则因家境贫苦，终日为生计奔波，却当年的仇家马超追杀，最终被迫随虾毛遁入黑道。,6.8,Dragon in Jail
剧情/喜剧/悬疑,说谎者游戏,普通话,中国,,75分钟,,"陈楚洹 Chunhuan Chen,王艺甜 Yitian Wang,刘顾浩 Guhao Liu,吴明轩 Mingxuan Wu,杨添明 Martin Yang,周小伟",2019-09-08(中国),海艇 / 王怀雷,,b7bd72f9cd4e1060f06740a879183298.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:7507/阳光电影www.ygdy8.com.说谎者游戏.HD.1080p.国语中字.mp4,3pF3r.jpg,如果不能以暴制暴，我们可否以骗制骗？,,Game Changer
动作/悬疑/古装,长安诡事之末世神兵,普通话,中国,,77分钟,,"孙讯 Sun Xun,石雪婧 Xuejing Shi,皓乔 Qiao Hao",2019-08(中国),吴承峰 Chengfeng Wu,,2b31a442459c77c4ea1e61d9b635b143.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:8500/阳光电影www.ygdy8.com.长安诡事之末世神兵.HD.1080p.国语中字.mp4,37PUo.jpg,星罗城的本国与扶余发生战争，辛礼与副将马一成带一支精锐偷袭扶余大营失败，被迫向东转进，途中遭遇神兵不死军的袭击，幸得少女灵儿相助，灵儿熟知神兵特性，帮助众人成功逃到星罗城，众人以为逃出生天之际，却发现又陷入了另一个更大的危机。,,
动作/悬疑/古装,长安诡事之血藤毒虫,普通话,中国,,66分钟,,"孙迅 Sun Xun,石雪婧 Xuejing Shi,岳冬峰 Dongfeng Yue",2019-08-14(中国),吴承峰,,d9836da82c7e614325c007e8547976fa.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:7500/阳光电影www.ygdy8.com.长安诡事之血藤毒虫.HD.1080p.国语中字.mp4,37QqH.jpg,贞观年间，大唐盛世万国来朝，一片昌盛繁荣之景。扶余国国师金文善觊觎大唐盛世已久，便处心积虑布下了危害大唐国运的困龙局。长安城看似一片太平，却接连发生许多离奇的诡异事件。龙睛门弟子中一位名叫“辛礼”的惊奇少年，在破解长安城频发的诡异事件时落入了扶余国国师金文善处心积虑破坏大唐国运的圈套，最终面临龙睛门文化失传与大唐衰落的两难选择。,,
爱情/科幻/战争,上海堡垒,汉语普通话,中国,2.8,107分钟,10 from 172401 users,"鹿晗 Han Lu,舒淇 Qi Shu,石凉 Liang Shi,高以翔 Godfrey Gao,王宫良 Kid Young,王森 Sen Wang,孙嘉灵 Jialing Sun",2019-08-09(中国),滕华涛 Hua-Tao Teng,10 from 104 users,8bab42d27e830549feada52df35659a4.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:8502/阳光电影www.ygdy8.com.上海堡垒.HD.720p.国语中英双字.mkv,3ojGQ.jpg,未来世界外星黑暗势力突袭地球，上海成为了人类最后的希望。大学生江洋（鹿晗饰）追随女指挥官林澜（舒淇饰）进入了上海堡垒成为一名指挥员。外星势力不断发动猛烈袭击，林澜受命保护击退外星人的秘密武器，江洋和几个好友所在的灰鹰小队则要迎战外星侵略者，保卫人类的最后一战最终在上海打响……,3.2,Shanghai Fortress
喜剧/奇幻,降龙祖师,普通话,中国,,80分钟,,"陈浩民 Ho-Man Chan,秦汉擂 Hanlei Qin,于心妍 Xinyan Yu",2019-08-27(中国),李志文,,2bd14a45ed6266818ac979ac47becfb2.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:7502/阳光电影www.ygdy8.com.降龙祖师.HD.1080p.国语中字.mp4,3olbW.jpg,捉妖师宋定伯受雇入米铺制服驴妖马卢，并收为己用，名声大噪。不料马卢逃跑，宋定伯尾随发现村民将少女萧萧捆绑欲送给神灵石像，阴差阳错之下救下萧萧，并打败伪装神灵的蛇妖。萧萧对宋定伯感激不尽，得知他名号后想请他入京捉妖。于是三人同往京城，一路铲除国师所派各路妖怪。萧萧的真实身份也终于暴露，她乃当今三公主，一直怀疑在朝中妖言惑众的国师是妖，希望宋定伯能帮她除妖……,,
剧情,淪落人,粤语,香港,7.4,112分钟,"10 from 1,693 users","黄秋生 Anthony Wong Chau-Sang,Crisel Consunji,叶童 Cecilia Yip,李灿森 Sam Lee,黄定谦 Himmy Wong,◎标　　签　黄秋生 | 香港 | 香港电影 | 香港電影 | 剧情 | 人生 | 2018 | 李灿森",2018-11-08(台湾金马奖) / 2019-04-11(香港),陈小娟 Oliver Chan,10 from 351 users,733e0191fe8ed58b0dc0df4f63c87590.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:8487/阳光电影www.ygdy8.com.沦落人.BD.720p.粤语中字.mkv,52a21a1292203164.jpg,这是关于两个沦落香港的最低下层的人的故事。中年男子汉昌荣（黄秋生饰）因意外受伤瘫痪后妻离子散，他认为人生再没有值得期望的东西，而自己亦不值得拥有任何东西。年轻菲佣Evelyn（Crisel Consunji饰）因为现实的原因，成为了一个寄人篱下的工人，放弃了成为摄影师的梦想。那一个夏天，这样的两个陌生人相遇相识，感情在他们的主仆关系中发芽，然而盛放的，却是灵魂与灵魂之间的尊重和爱。他们一起经历的春夏秋冬，令他们学习到底要怎样面对人生的四季。,8.2,沦落人/Still Human
剧情,妈阁是座城,普通话,中国,6.2,127分钟,"10 from 13,907 users","白百何 Baihe Bai,黄觉 Jue Huang,吴刚 Gang Wu,刘嘉玲 Carina Lau,梁天 Tian Liang,钱小豪 Siu-hou Chin,彭敬慈 Samuel Pang,魏璐 Lu Wei,耿乐 Le Geng,于小彤 Xiaotong Yu",2018-12-27(香港点映) / 2019-06-14(中国),李少红 Shaohong Li,10 from 11 users,4011c97f79991f6128b1362e7a96844f.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:7487/阳光电影www.ygdy8.com.妈阁是座城.HD.720p.国语中字.mkv,a8c3701292203214.jpg,女叠码仔梅晓鸥（白百何饰）历尽沧桑，在妈阁（澳门）这座赌城中与来历迥异的赌徒打交道，有地产商段凯文（吴刚饰）、有艺术家史奇澜（黄觉饰），也有来自不同阶级的政商人员，连早已堕落低谷的前夫卢晋桐（耿乐饰）都重新卷入她的人生。这些人入赌场就搏杀，出赌场就赖账，女叠码仔过的就是放债和讨债的生活。,5.9,A City Called Macau/Macau Is The Seat of The City
剧情/悬疑,作家的谎言/作家的謊言:筆忠誘罪,粤语,中国香港,,90分钟,10 from 78 users,"张建声 Justin Cheung,松冈李那 Linah Matsuoka,何佩瑜 Jeana Ho,陈嘉莉 Kelly Chen,王宗尧 Gregory Wong,赵永洪 Raymond Chiu,陆永 Wing-kuen Luk,郑诗君 Sze-kwan Cheng,吴岱融 Hugo Ng Doi-Yung,邹文正 Terry Zou",2019-06-20(中国香港),孙立基 Christopher Sun Lap Key,,61f57fe244c6ea4aac1e4d984fe1b9c7.jpg,ftp://ygdy8:ygdy8@yg90.dydytt.net:8589/阳光电影www.ygdy8.com.作家的谎言.BD.720p.国粤双语中字.mkv,384abb1292203134.jpg,被誉为最出色治愈系作家－徐哲，年轻、有楼、做着自己喜欢的事，是成功的典范。他的文字被誉为心灵鸡汤，抚慰着无数读者的心灵。从他的作品，可以知道他是个善良、有原则、爱妻顾家的好男人。然而，他的财富，却是承继父亲所得。,6.6,Deception of the Novelist
